nohup: ignoring input
Using device: cuda
Training started
Epoch 0 | Loss: 0.001558 | LR: 0.000050
Epoch 1 | Loss: 0.000097 | LR: 0.000050
Epoch 2 | Loss: 0.000056 | LR: 0.000050
Epoch 3 | Loss: 0.000052 | LR: 0.000050
Epoch 4 | Loss: 0.000139 | LR: 0.000050
Epoch 5 | Loss: 0.000022 | LR: 0.000050
Epoch 6 | Loss: 0.000034 | LR: 0.000050
Epoch 7 | Loss: 0.000011 | LR: 0.000050
Epoch 8 | Loss: 0.000106 | LR: 0.000050
Epoch 9 | Loss: 0.000026 | LR: 0.000050
Epoch 10 | Loss: 0.000005 | LR: 0.000050
Epoch 11 | Loss: 0.000064 | LR: 0.000050
Epoch 12 | Loss: 0.000055 | LR: 0.000050
Epoch 13 | Loss: 0.000009 | LR: 0.000050
Epoch 14 | Loss: 0.000030 | LR: 0.000040
Epoch 15 | Loss: 0.000006 | LR: 0.000040
Epoch 16 | Loss: 0.000009 | LR: 0.000040
Epoch 17 | Loss: 0.000057 | LR: 0.000040
Epoch 18 | Loss: 0.000004 | LR: 0.000040
Epoch 19 | Loss: 0.000005 | LR: 0.000040
Epoch 20 | Loss: 0.000008 | LR: 0.000040
Epoch 21 | Loss: 0.000033 | LR: 0.000040
Epoch 22 | Loss: 0.000010 | LR: 0.000040
Epoch 23 | Loss: 0.000007 | LR: 0.000040
Epoch 24 | Loss: 0.000006 | LR: 0.000040
Epoch 25 | Loss: 0.000007 | LR: 0.000040
Epoch 26 | Loss: 0.000006 | LR: 0.000040
Epoch 27 | Loss: 0.000005 | LR: 0.000040
Epoch 28 | Loss: 0.000033 | LR: 0.000040
Epoch 29 | Loss: 0.000001 | LR: 0.000032
Epoch 30 | Loss: 0.000002 | LR: 0.000032
Epoch 31 | Loss: 0.000003 | LR: 0.000032
Epoch 32 | Loss: 0.000004 | LR: 0.000032
Epoch 33 | Loss: 0.000018 | LR: 0.000032
Epoch 34 | Loss: 0.000002 | LR: 0.000032
Epoch 35 | Loss: 0.000004 | LR: 0.000032
Epoch 36 | Loss: 0.000004 | LR: 0.000032
Epoch 37 | Loss: 0.000003 | LR: 0.000032
Epoch 38 | Loss: 0.000003 | LR: 0.000032
Epoch 39 | Loss: 0.000004 | LR: 0.000032
Epoch 40 | Loss: 0.000002 | LR: 0.000032
Epoch 41 | Loss: 0.000015 | LR: 0.000032
Epoch 42 | Loss: 0.000001 | LR: 0.000032
Epoch 43 | Loss: 0.000003 | LR: 0.000032
Epoch 44 | Loss: 0.000012 | LR: 0.000026
Epoch 45 | Loss: 0.000001 | LR: 0.000026
Epoch 46 | Loss: 0.000002 | LR: 0.000026
Epoch 47 | Loss: 0.000002 | LR: 0.000026
Epoch 48 | Loss: 0.000001 | LR: 0.000026
Epoch 49 | Loss: 0.000003 | LR: 0.000026
Epoch 50 | Loss: 0.000002 | LR: 0.000026
